Microgrid,Location,Recommended Upgrade,Component Count,Cost Estimate ($)
mg0,mg0,Microgrid Design,1,100000
mg0,mg0,Microgrid Controls,1,100000
mg0,650632,SCADA disconnect switch,1,50000
mg0,634a_data_center,AMI disconnect meter(s),1,300.0
mg0,634b_radar,AMI disconnect meter(s),1,300.0
mg0,634c_atc_tower,AMI disconnect meter(s),1,300.0
mg0,675a_hospital,3-phase relay(s),1,20000.0
mg0,675b_residential1,3-phase relay(s),1,20000.0
mg0,675c_residential1,3-phase relay(s),1,20000.0
mg0,692_warehouse2,3-phase relay(s),1,20000.0
mg0,684_command_center,AMI disconnect meter(s),1,300.0
mg0,652_residential,AMI disconnect meter(s),1,300.0
mg0,611_runway,AMI disconnect meter(s),1,300.0
mg0,645_hangar,AMI disconnect meter(s),1,300.0
mg0,646_office,AMI disconnect meter(s),1,300.0
